Group,individual,AN,DN,Recording time (mins),Recording time (seconds)
Single Neighbour,1,29,35,6,5
Single Neighbour,2,57,56,5,30
Single Neighbour,3,22,10,6,30
Single Neighbour,4,21,11,11,29
Single Neighbour,5,22,17,3,20
Single Neighbour,7,40,28,14,18
Single Neighbour,8,23,13,3,7
Single Neighbour,9,23,14,5,11
Lone Male,1,20,0,5,11
Lone Male,2,23,7,3,43
Lone Male,3,33,6,3,20
Lone Male,4,21,0,4,59
Lone Male,5,21,0,6,46
Lone Male,6,21,8,2,35
Lone Male,7,21,12,3,14
Lone Male,8,21,10,3,26
Lone Male,9,23,7,4,20
Lone Male,10,22,12,4,8
Lone Male,11,26,6,8,59
