State,0DN,1DN,2DN,3DN,4DN,5DN,6DN
Single Neighbour,4,18,5,1,1,0,0
Single Neighbour,22,23,7,3,1,0,1
Single Neighbour,12,10,0,0,0,0,0
Single Neighbour,10,11,0,0,0,0,0
Single Neighbour,5,17,0,0,0,0,0
Single Neighbour,12,10,1,0,0,0,0
Single Neighbour,12,28,0,0,0,0,0
Single Neighbour,10,13,0,0,0,0,0
Single Neighbour,9,14,0,0,0,0,0
Lone Male,20,0,0,0,0,0,0
Lone Male,18,4,0,1,0,0,0
Lone Male,26,7,0,0,0,0,0
Lone Male,21,0,0,0,0,0,0
Lone Male,21,0,0,0,0,0,0
Lone Male,13,8,0,0,0,0,0
Lone Male,9,12,0,0,0,0,0
Lone Male,11,10,0,0,0,0,0
Lone Male,16,7,0,0,0,0,0
Lone Male,10,12,0,0,0,0,0
Lone Male,20,6,0,0,0,0,0
