"","inds","contextlist","seqlist"
"1","ZOOM0522","A","120101012010101010101010101012010101201010101012010101201"
"2","ZOOM0515","N_A","12012012012010101201010101012010101010101201201201201201201201201201012012012012012012012012012012012012012"
"3","ZOOM0518","N_A","12010102010201020120101010101020101020101020120101010201020102010102"
"4","ZOOM0520","N_A","102012010101201201012012010201020101201012010201012010120101201"
"5","ZOOM0476","A","101010101010101010101010101010101010101"
"6","ZOOM0480","A","101201201010101201012010101010101010101010101010122201"
"7","ZOOM0481","A","10101010101201201201010101012012010101010101010101010101201010101010101"
"8","ZOOM0482","A","10101010101010101010101010101010101010101"
"9","ZOOM0488","A","10101010101010101010101010101010101010101"
"10","ZOOM0503","A","1201201201201010101012010101010101010120101201201"
"11","ZOOM0505","A","10101201201010120101201012012012012012010101012012012"
"12","ZOOM0507","A","12010101020101010101010120102010102010120120102010201201"
"13","ZOOM0510","A","1010120101012012010101010101012012012010101012010101"
"14","ZOOM0511","A","1010101012010101010120120101201012012012012012012012012"
"15","ZOOM0465","N_A","12012012020120120120120120120120120122201201012012222010122012012201201012201012012012012012"
"16","ZOOM0468","N_A","101012020122201012012010101201020101020120122020120120101010101012020101201012010120101012012010101201222222010122012201201201220122012220120101201202012012012222012010120101"
"17","ZOOM0491","N_A","102010201010101020101020102010201010101020101010102010201020101"
"18","ZOOM0492","N_A","1201201012010120120101010101201201201201012012010101"
"19","ZOOM0508","N_A","120120101010120101201201201201201201201201201201201201201201"
